tconst,averageRating,numVotes
tt1248537,8.1,4991
tt1248538,8.5,2718
tt1248539,8.3,2635
tt1248540,7.5,2560
tt1248541,8.1,2568
tt1248542,7.6,3576
tt1248543,7.7,3237
tt1248544,8.1,3183
tt1248545,7.4,2903
tt1248546,7.6,2798
tt1248547,7.9,2822
tt1248548,7.8,2727
tt1248549,7.8,2619
tt1352058,8.6,2679
tt1371600,8.1,2690
tt1375588,7.6,2543
tt1380404,8.4,2627
tt1390443,7.8,2464
tt1400652,9.1,3157
tt1400654,8.6,2585
tt1458249,8.4,2785
tt1461321,7.6,2369
tt1478012,7.8,2312
tt1478013,8.6,2457
tt1494949,7.6,2253
tt1498335,7.6,2248
tt1504315,8.7,2620
tt1504316,7.8,2233
tt1537132,7.0,2352
tt1537133,7.6,2251
tt1537134,8.1,2292
tt1537135,8.1,2272
tt1537136,8.9,2709
tt1537137,9.4,4017
tt1537138,7.9,2229
tt1537139,9.2,3728
tt1537548,8.7,2399
tt1537549,7.7,2203
tt1595401,8.6,2317
tt1595402,6.8,3125
tt1616753,8.3,2363
tt1616754,8.9,2573
tt1634617,9.2,2880
tt1635941,8.6,2439
tt1635942,8.4,2133
tt1635943,7.9,1969
tt1635944,8.0,2009
tt1635945,7.8,2022
tt1635946,8.2,2114
tt1635947,8.4,2251
tt1635948,8.0,2039
tt1635949,7.9,2064
tt1635950,8.1,2022
tt1635951,8.6,2575
tt1635952,8.0,2128
tt1635953,8.3,1963
tt1635954,8.7,2101
tt1635955,9.0,2738
tt1635956,8.5,2292
tt1635957,8.3,2122
tt1635958,8.1,2149
tt1635959,8.1,2091
tt1635960,8.6,2106
tt1635961,9.0,2358
tt1635962,8.1,2172
tt1942299,7.9,2420
tt1974629,8.1,2065
tt1998676,7.7,1929
tt2032721,8.1,2065
tt2032722,8.0,1998
tt2032723,8.6,2160
tt2032724,7.6,1874
tt2080688,8.4,2051
tt2097485,7.9,1977
tt2097486,8.0,1956
tt2097487,8.5,1997
tt2125858,8.6,2203
tt2125859,7.9,1944
tt2142215,8.7,2106
tt2166857,8.0,2155
tt2201537,7.8,1887
tt2201539,8.1,1877
tt2208523,8.0,1810
tt2208525,8.9,2991
tt2208527,8.5,1969
tt2208529,8.3,2029
tt2208531,8.6,2229
tt2222882,8.0,1823
tt2352398,7.7,1873
tt2383819,8.1,2308
tt2385734,8.6,2093
tt2385736,8.3,1871
tt2385738,8.5,1921
tt2411938,8.4,1833
tt2411940,8.2,1906
tt2411942,8.2,1831
tt2411944,8.8,2034
tt2411946,8.9,2106
tt2411948,8.6,1886
tt2411954,9.3,3846
